part|symbol|CEO|employees|HQc|HQs|founded|MC|PER|description|high|low|open|volume|yearHigh|yearLow|tags
'A'|"AAASV"|"Leta Casper"|14822|"Lake Felipe"|"Wisconsin"|1924|90.73|"87.92"|"Sunt fugiat illum minima molestias harum doloremque nam. Laboriosam odit deserunt dolore velit. Voluptatem sit aut soluta rem praesentium nulla velit maiores. Consequatur distinctio est eius quos quo magnam veniam error aut.\n \rFugit totam inventore. Non aliquid quidem consequatur dignissimos. Ab unde qui praesentium veniam consequatur tempora quo.\n \rDelectus suscipit et et. Placeat corrupti id similique alias neque dolores maiores qui. Perspiciatis libero consequatur omnis amet tempore amet dolor inventore perferendis. Sapiente delectus officiis esse ducimus ea minus et."|"189.95"|185.14|187.61|"38.34"|223.68|160.97|{"Internet","Semiconductors","Consumer Products","Automotive","100 Most Popular","Technology","Manufacturing"}
'A'|"AAASU"|"Anthony Bruen"|1218|"North Parker"|"Washington"|1964|38.62|"71.73"|"Dicta ut earum dolor sit atque. Similique eum ipsum. Deserunt natus saepe a molestiae quos voluptatem. Natus ipsam aut sed ipsa cupiditate fugit non aut dolor. Quod dolores iure et delectus ut sapiente sapiente.\n \rNesciunt aspernatur unde quidem maxime fugiat maxime vel. Nulla dolore ad doloribus possimus quae ducimus quo optio. Occaecati atque ab et quia id voluptatem eos excepturi nihil.\n \rQui enim perferendis mollitia quidem accusantium perferendis tempore. Non sit possimus aliquid voluptatem ea voluptate beatae officia. Voluptas distinctio quis aut temporibus ut impedit."|"216.52"|212.14|214.61|"31.11"|250.68|187.97|{"Banking","New On TradeDesk","Electronic","REIT","Manufacturing","Semiconductors","Technology"}
'A'|"AAAST"|"Cornell Hermann"|6798|"Port Sedrick"|"Texas"|1902|64.43|"10.36"|"Aspernatur hic officia et molestias veritatis rerum consequatur blanditiis. Aliquid saepe nesciunt in non ut eos blanditiis at. A officia sequi adipisci sunt iure dolores id. Sed tempore expedita veritatis expedita ullam. Maiores ut voluptates temporibus.\n \rUt ut temporibus quia molestiae qui eligendi. Consequatur sed saepe. Provident non molestias est iusto officia quo et mollitia odit. Doloribus tempore itaque est corporis.\n \rExplicabo laboriosam in hic quibusdam qui pariatur. Molestias ut ut. Id eos ad in voluptate vero. Sapiente quasi ut magni quis deserunt dolorem est animi. Suscipit impedit aut consequatur. Sed qui dicta."|"169.88"|165.14|167.61|"1.94"|203.68|140.97|{"REIT","Health","Software Service","Video Games","Energy","Food","Aerospace"}
'A'|"AAASS"|"Marcelina Casper"|13862|"North Beaulahfort"|"Wyoming"|1964|17.66|"26.24"|"Enim eos non et aliquid iusto ut numquam. Et ab ut rerum quia et. Repellat labore possimus voluptates praesentium est odit necessitatibus dolor quisquam. Labore non ullam ducimus id ut fugit. Quidem voluptatem eligendi dolore rerum tempore architecto dignissimos. Pariatur quos atque error.\n \rAsperiores distinctio quisquam similique voluptate ratione et. Pariatur iure voluptatem esse quibusdam quis. Mollitia rem et dolor est magnam odio natus fuga. Ut rerum aut quia sed doloremque quibusdam. Dolorem consectetur minus ab culpa eos harum.\n \rQui harum qui soluta occaecati in optio at. Et ut culpa reprehenderit eos tempore cumque. Quam dignissimos totam aut debitis nihil et architecto. Dolore et ut ut."|"238.98"|234.14|236.61|"5.35"|272.68|209.97|{"Oil and Gas","Food","Technology","ETF","Manufacturing","100 Most Popular","New On TradeDesk"}
'A'|"AAASR"|"Emmalee Schmidt MD"|7243|"Maiashire"|"West Virginia"|2002|199.39|"19.28"|"Repellat quibusdam dolorum maxime provident omnis quos perferendis est. Impedit esse sint et officiis ratione quis commodi vel reprehenderit. Ea ducimus sunt ea voluptas neque libero sequi.\n \rSint rerum impedit reiciendis asperiores illo eligendi corrupti. Aut tempore corporis aliquam aut et nemo voluptates molestiae. Non dolores animi. Qui est expedita architecto alias velit est. Quae est recusandae nam ipsa ducimus quis qui natus voluptate.\n \rTempore magni sint nihil. Cum quis et omnis dolor velit. Aut quos temporibus sit aperiam ullam odio quaerat. Reprehenderit nesciunt quae fugit officiis temporibus excepturi deleniti reiciendis et. Illo totam reiciendis assumenda excepturi tempore. Eveniet voluptate corrupti."|"211.70"|207.14|209.61|"16.51"|245.68|182.97|{"Finance","Automotive","Materials","Pharmaceutical","Entertainment","Video Games","Software Service"}
'A'|"AAASQ"|"Miss Justus Hamill"|1642|"Lake Nyahshire"|"Iowa"|1988|157.16|"56.97"|"Aspernatur ut unde. Minus nihil voluptatibus. Reiciendis facilis impedit.\n \rQuisquam repudiandae quia vel saepe laboriosam. Nisi qui nulla ipsa numquam distinctio esse. Harum quia eum voluptates eaque cum eum.\n \rSit molestiae sit dolorem et non dolor reprehenderit expedita quia. Expedita corrupti doloremque quibusdam porro. Quibusdam odit explicabo distinctio fugit temporibus ut. Ea quisquam sunt. Ut qui vel aliquid commodi tempore est quos ipsam quas. Repellat dolorum dignissimos nam sapiente quia aut culpa."|"130.34"|126.14|128.61|"15.79"|164.68|101.97|{"Social Media","Banking","Pharmaceutical","Technology","Upcoming Earnings","Finance","Manufacturing"}
'A'|"AAASP"|"Pierce Beier"|5149|"Sanfordburgh"|"South Dakota"|1982|45.81|"78.18"|"At aut inventore fugiat possimus eum dolorum debitis explicabo provident. Est minima maiores impedit ex deleniti corporis nesciunt dicta. Autem aliquid ab sed molestias id eveniet nulla ea. Et officia fugiat sed harum. Sequi nihil et earum dolore consequatur laudantium sit. Blanditiis debitis suscipit maiores nobis dolor sed architecto.\n \rUt et qui excepturi quo animi reiciendis aut. Dolores et ut eligendi asperiores sunt rerum. Tempora eos beatae atque illum magnam reiciendis. Enim deleniti voluptatum at id. Iste aperiam quia ut ratione velit officia provident.\n \rEos sequi a est molestias vel. Ipsum laboriosam vel. Omnis culpa sapiente dignissimos aut. Omnis voluptas facere at adipisci nam aut autem et aliquam. Excepturi quasi quo voluptatibus velit magni."|"143.35"|139.14|141.61|"9.15"|177.68|114.97|{"REIT","New On TradeDesk","Pharmaceutical","Health","Technology","Software Service","Energy"}
'A'|"AAASO"|"Ian Bernhard"|16825|"Abernathystad"|"Delaware"|1928|478.55|"67.37"|"Minima est omnis est quam. Odit velit quo earum itaque magni sint. Exercitationem sequi vero.\n \rSint quis quasi voluptatem ea saepe. Quo inventore perspiciatis eos et quod ipsa officiis. Quo est commodi veniam dolor voluptate quibusdam id. Facere quia veniam. Aspernatur cumque enim est ipsam porro ut cumque qui rerum. Ut omnis nulla quis saepe officiis.\n \rQuia doloremque optio neque omnis. Ipsa quia voluptatem ex eos fugit est optio. Eum laboriosam est."|"121.69"|117.14|119.61|"26.42"|155.68|92.97|{"Internet","Retail","Aerospace","REIT","New On TradeDesk","Health","Automotive"}
'A'|"AAASN"|"Mac Hettinger DVM"|3961|"West Hertha"|"Maryland"|1889|45.47|"50.65"|"Alias unde ut in voluptatem consequatur ut molestiae. Dolor delectus iure illo. Molestiae voluptatem id minus non optio omnis mollitia modi ut. Magni qui omnis. Laboriosam ea iure.\n \rNeque est adipisci aut quia beatae in. Minima doloribus qui. Reprehenderit rerum facere eius exercitationem dolorem nobis molestias sint. Dolores ipsa voluptates.\n \rVel odio eius ipsum. Cupiditate rerum et quos occaecati sunt eius. Illum et eos nobis."|"110.69"|106.14|108.61|"19.62"|144.68|81.97|{"Electronic","Internet","Aerospace","Health","Oil and Gas","100 Most Popular","Semiconductors"}
'A'|"AAASM"|"Shania Witting"|7645|"Lake Delphiaburgh"|"Idaho"|1967|44.62|"61.61"|"Distinctio et ut aut a qui et ut dignissimos illo. Nesciunt et facere magni minima qui quod. Quia corporis fugit expedita earum. Tenetur laborum deserunt et est vitae voluptate. Necessitatibus natus assumenda accusantium vel quibusdam est totam.\n \rQui sit optio eaque. Suscipit aliquam numquam quia perspiciatis sint minima iusto qui. Saepe provident et eum. Ea nulla et et.\n \rHarum magni vel et iure quisquam. Impedit explicabo blanditiis. Voluptas qui praesentium."|"69.12"|65.14|67.61|"7.77"|103.68|40.97|{"Automotive","Semiconductors","Food","Banking","Finance","Retail","Entertainment"}
'A'|"AAASL"|"Stanley Roberts"|13371|"Prosaccoview"|"Maine"|1988|131.22|"58.19"|"Sint qui ullam facilis quaerat corporis dolores. Praesentium sit dolore voluptas asperiores ut dolor. Voluptatum quia odio ut. Est explicabo omnis quibusdam aut enim eum quia. Eius ratione rerum omnis corrupti sit cumque velit perspiciatis magni. Doloremque ea non reiciendis esse.\n \rEa quas repellendus voluptas aliquid beatae quia excepturi nam repellendus. Ipsam et perspiciatis ex quis non dolorem. Ipsam ut ea. Veritatis molestiae laudantium quos enim quo et qui assumenda. Explicabo saepe est ducimus.\n \rConsequatur enim debitis facere eum magni incidunt. Veritatis possimus ut impedit sed. Doloribus fuga non. Non magnam impedit nisi. Est et dolores corrupti sit est cum."|"249.35"|245.14|247.61|"6.79"|283.68|220.97|{"Materials","Electronic","Social Media","100 Most Popular","Video Games","Automotive","Aerospace"}
'A'|"AAASK"|"Marianna Mosciski"|320|"East Justynville"|"Arkansas"|1983|228.66|"47.96"|"Laudantium ut qui esse quaerat delectus adipisci est exercitationem eveniet. Ea aut temporibus quasi velit itaque. Consequatur fugit voluptas aliquid et facere eos. Veniam quis nemo temporibus tenetur. Et dignissimos repellendus enim dolor. Eum laboriosam eaque.\n \rSit iusto officiis mollitia enim omnis tempore porro ea dignissimos. Voluptatum esse sint unde aspernatur dolore est possimus. Ipsam voluptates porro numquam enim non. Reiciendis accusantium laborum tenetur dolores provident consequuntur. Ipsum illo saepe voluptas ex ut.\n \rVoluptas rerum nihil eos voluptatem rem qui eos aut possimus. Sed eum quibusdam provident enim repellendus mollitia voluptatem repellat. Omnis temporibus id. Voluptatem fugit error voluptate accusantium eos et mollitia debitis tempore. Soluta est nam est laborum voluptatem neque. Aspernatur molestiae eos quidem consequatur maiores distinctio voluptatum officiis."|"256.67"|252.14|254.61|"24.86"|290.68|227.97|{"Entertainment","Software Service","Energy","Banking","Electronic","Oil and Gas","Internet"}
'A'|"AAASJ"|"Amelie Kerluke"|875|"East Jarretburgh"|"Wisconsin"|1892|20.98|"66.39"|"Aut ullam ut et aliquam velit quia eligendi accusamus vitae. Qui aut saepe illo eaque molestiae cupiditate autem consequatur sint. Ipsum vel quo nihil velit voluptatem molestiae et facere. Labore labore labore. Eum sit tempora.\n \rNisi magni ut placeat vitae amet maxime. Molestiae cum ratione voluptas aspernatur explicabo quis autem soluta. Delectus sunt dolorem commodi et quo. Ut sunt at harum facere veritatis quas sit minima ea. Debitis laudantium impedit qui labore numquam placeat veritatis rerum.\n \rQuod molestiae laudantium ullam voluptatem voluptatum ab fuga. Ut ipsum quia aliquid odit id hic ea. Voluptatem non consectetur et nesciunt ut. Ut voluptatem voluptas qui molestiae ut eos iure sequi. Dicta autem dolores sit ratione eum dolor aperiam unde error. Atque ullam dignissimos repudiandae eum dicta ea."|"199.82"|195.14|197.61|"34.88"|233.68|170.97|{"Internet","Semiconductors","Entertainment","REIT","Finance","Retail","Social Media"}
'A'|"AAASI"|"Keely Stanton PhD"|1383|"East Alyssonland"|"Tennessee"|1929|904.63|"69.23"|"Quaerat qui aut sequi dolorem recusandae alias recusandae voluptatum et. Sit exercitationem inventore culpa omnis et at qui et voluptatem. Sed enim doloremque aperiam sequi accusamus debitis et. Ab beatae nemo repellat consequatur. Totam quasi quo.\n \rEt autem qui et assumenda doloribus. Eos porro aut sunt id. Earum eveniet repellat odit. Vel ad expedita aut quia. Illum tempora possimus. Qui ad sed cum minima perspiciatis ipsa et eum.\n \rQuo quibusdam facere necessitatibus vel. Aut laboriosam quidem corporis similique ipsum occaecati. Labore inventore et. Laudantium aliquid ut possimus cupiditate sit mollitia necessitatibus."|"154.52"|150.14|152.61|"38.40"|188.68|125.97|{"Technology","Manufacturing","Finance","Health","Video Games","ETF","Entertainment"}
